pref,ldp_vt_25,cdp_vt_25,komei_vt_25,jip_vt_25,jcp_vt_25,dpp_vt_25,reiwa_vt_25,sdp_vt_25,diy_vt_25,mirai_vt_25
北海道,624976,441998,219289,75510,147611,291341,189563,47154,275374,41605
青森県,156328,104349,40125,11800,29339,52546,39599,9072,61157,4700
岩手県,134061,128614,35461,16377,27495,62303,42953,14511,65302,6783
宮城県,250727,167214,81382,37963,45027,117162,86070,20993,115396,29201
秋田県,157492,60814,32189,14474,15864,53440,26543,12230,41725,3880
山形県,164484,68598,36381,16102,21616,66836,39018,17056,55153,6040
福島県,221751,153865,67714,27163,40177,98666,57260,18555,107269,8000
茨城県,304233,163836,125805,62575,49895,172723,80014,21294,179563,19245
栃木県,213437,127149,71980,30236,25522,103630,61797,16121,109691,11607
群馬県,218422,104435,75038,29730,41243,96993,58078,17158,129012,11566
埼玉県,647214,437994,337617,161901,189666,501953,244663,69785,439062,103069
千葉県,594373,430953,255186,141885,130704,412819,185940,47835,365382,81488
東京都,1232489 ,816963 ,536029 ,392471 ,448647 ,1075916 ,371737 ,166329 ,788983 ,431085 
神奈川県,903447,553832,370351,298910,241033,662342,302211,113101,541928,186395
新潟県,319813,227539,61141,37409,39531,103780,67089,22146,118796,12255
富山県,144693,39383,29127,43051,14724,76006,26616,11186,55038,6445
石川県,147633,53911,30150,27728,17284,74761,31589,7485,83229,8476
福井県,110215,38484,22892,17896,11136,52895,22855,4962,53333,4482
山梨県,104724,57682,34476,12707,17710,57718,28132,6169,48965,4931
長野県,227451,190862,73179,39349,63009,104835,70313,22980,112903,25966
岐阜県,244932,129409,74170,41282,38356,106488,70507,12821,119306,13079
静岡県,397457,187651,141494,74485,71836,308069,119384,32485,229755,26389
愛知県,651559,455180,288142,194828,137534,586773,260001,56709,466910,96419
三重県,197404,154406,75028,41011,28434,96685,59164,14458,106268,10148
滋賀県,135148,59754,44266,106536,34443,91284,44178,10164,87288,11386
京都府,196292,113885,93960,196472,116328,124794,73985,16217,142434,21592
大阪府,483717,242848,447924,1155625,227409,380424,247713,49821,527515,88065
兵庫県,471557,234676,253763,419847,114162,287053,153278,55040,330455,59377
奈良県,131057,67164,59365,102454,33108,77398,35894,9463,80319,12623
和歌山県,106887,32101,50404,57665,22705,38755,25549,5110,65008,3810
鳥取県,99299,19388,25100,8155,8993,22086,12323,3636,24837,3200
島根県,116367,34623,27434,11724,15183,32492,15276,5336,33678,3427
岡山県,207868,109531,86310,39488,34459,90689,46735,13030,108400,10784
広島県,297496,147437,114036,57912,46032,134993,79764,28044,163610,20346
山口県,172158,58666,60396,21852,19290,80011,35611,9069,81323,7778
徳島県,77202,29427,30465,17083,11359,33838,20078,4215,40605,3619
香川県,100822,36125,40124,14882,14576,118198,20435,6911,49013,5118
愛媛県,167318,64254,68154,29449,22909,61664,40371,10433,84635,9520
高知県,84601,31793,32454,11553,26774,29604,20753,7489,37985,3162
福岡県,453899,266499,250184,112564,89461,288176,166608,50986,342011,54221
佐賀県,117439,63453,31903,11253,9962,36500,25043,8243,49793,3973
長崎県,176767,62228,61051,20644,18179,78429,33290,12650,73559,5751
熊本県,242863,112899,80303,20076,20076,69968,53093,16770,119195,9371
大分県,131328,95251,53823,19126,17740,49674,35472,19368,64748,5557
宮崎県,135201,70340,52122,17200,12963,45325,35061,15044,66717,4032
鹿児島県,226583,88082,65342,29274217,18921,55395,52722,17736,100949,7874
沖縄県,107120,61918,67345,36602,36314,57060,65588,60453,81474,10053
